City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Praia,CV,2020-12-20 15:37:15,14.92,-23.51,80.6,54,40,20.8
202,Cidreira,BR,2020-12-20 15:37:15,-30.18,-50.21,79.23,53,99,11.25
203,Dunedin,NZ,2020-12-20 15:32:27,-45.87,170.5,52.0,85,98,4.0
204,Chokurdakh,RU,2020-12-20 15:37:15,70.63,147.92,-17.45,89,66,9.75
205,Acapulco,MX,2020-12-20 15:36:11,16.86,-99.89,77.0,88,40,3.33
206,Rocha,UY,2020-12-20 15:37:15,-34.48,-54.33,70.9,47,41,20.92
207,Bathsheba,BB,2020-12-20 15:37:16,13.22,-59.52,80.6,83,40,20.8
208,Kristiinankaupunki,FI,2020-12-20 15:37:16,62.27,21.38,41.61,92,100,13.96
209,Rio Negro,BR,2020-12-20 15:34:20,-26.11,-49.8,75.99,83,79,10.0
210,Suluova,TR,2020-12-20 15:37:16,40.83,35.65,37.4,70,20,4.7
211,Huancabamba,PE,2020-12-20 15:37:16,-5.24,-79.45,67.98,70,59,2.39
212,Talnakh,RU,2020-12-20 15:37:16,69.49,88.4,-31.0,73,40,2.24
213,Tynda,RU,2020-12-20 15:37:17,55.17,124.72,-6.21,89,100,3.18
214,Hvolsvollur,IS,2020-12-20 15:37:17,63.75,-20.22,32.0,89,20,23.04
215,Pacific Grove,US,2020-12-20 15:37:17,36.62,-121.92,43.0,55,1,6.93
216,Bayan,CN,2020-12-20 15:37:17,46.08,127.4,2.1,93,33,9.48
217,Harunabad,PK,2020-12-20 15:37:18,29.61,73.14,58.19,31,97,2.55
218,Sungurlu,TR,2020-12-20 15:37:18,40.17,34.37,38.03,74,0,0.74
219,Kedrovyy,RU,2020-12-20 15:37:18,56.17,91.82,17.6,100,90,2.24
220,Gilgit,PK,2020-12-20 15:37:18,35.92,74.31,36.54,56,97,0.96
221,Vanimo,PG,2020-12-20 15:37:18,-2.67,141.3,78.51,83,97,3.47
222,Katsina,NG,2020-12-20 15:37:18,12.99,7.6,87.46,13,1,7.61
223,Sur,OM,2020-12-20 15:37:19,22.57,59.53,71.38,66,3,11.1
224,Xichang,CN,2020-12-20 15:37:19,27.9,102.26,39.02,73,0,1.88
225,Makakilo City,US,2020-12-20 15:37:19,21.35,-158.09,75.2,78,1,3.36
226,Tual,ID,2020-12-20 15:37:19,-5.67,132.75,83.97,75,100,9.93
227,Krasnyy Yar,RU,2020-12-20 15:37:19,46.53,48.35,30.0,86,90,11.18
228,Issoire,FR,2020-12-20 15:37:19,45.55,3.25,53.6,58,90,5.82
229,Klichka,RU,2020-12-20 15:37:20,50.45,118.0,3.27,90,0,5.91
230,Jutai,BR,2020-12-20 15:37:20,-5.18,-68.9,81.19,90,94,2.21
231,Manhuacu,BR,2020-12-20 15:33:04,-20.26,-42.03,81.7,72,93,3.94
232,Carrigaline,IE,2020-12-20 15:37:20,51.81,-8.4,46.0,81,20,12.75
233,San Luis,AR,2020-12-20 15:37:21,-33.3,-66.34,75.65,26,10,4.38
234,Hong Gai,VN,2020-12-20 15:37:21,20.96,107.09,57.2,47,0,8.05
235,Roebourne,AU,2020-12-20 15:37:21,-20.78,117.13,90.12,43,50,14.25
236,Dayong,CN,2020-12-20 15:37:21,25.02,118.29,59.0,58,75,17.9
237,Kloulklubed,PW,2020-12-20 15:37:22,7.04,134.26,82.4,74,75,8.05
238,Saint-Raymond,CA,2020-12-20 15:37:22,45.47,-73.61,30.99,86,100,4.7
239,Lompoc,US,2020-12-20 15:37:22,34.64,-120.46,39.2,74,1,6.93
240,Saryozek,KZ,2020-12-20 15:37:22,44.36,77.98,22.53,97,100,4.03
241,Sokolovskoye,RU,2020-12-20 15:37:23,45.26,40.68,33.91,89,100,4.81
242,Coihaique,CL,2020-12-20 15:37:23,-45.58,-72.07,57.2,50,40,6.93
243,Houma,US,2020-12-20 15:36:41,29.6,-90.72,60.01,93,90,5.82
244,Qaqortoq,GL,2020-12-20 15:37:23,60.72,-46.03,19.4,62,75,5.82
245,La Orilla,MX,2020-12-20 15:37:24,17.98,-102.23,80.64,50,28,5.82
246,Pak Phanang,TH,2020-12-20 15:37:24,8.35,100.2,82.4,74,40,10.29
247,Antalaha,MG,2020-12-20 15:37:24,-14.9,50.28,77.79,88,69,5.46
248,Vila Franca Do Campo,PT,2020-12-20 15:37:24,37.72,-25.43,62.6,93,75,12.75
249,Solnechnyy,RU,2020-12-20 15:37:24,50.72,136.63,-6.79,82,49,3.56
250,Havelock,US,2020-12-20 15:37:25,34.88,-76.9,50.0,93,90,6.93
251,Buala,SB,2020-12-20 15:37:25,-8.14,159.59,80.2,78,93,3.96
