City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
157,Lubumbashi,CD,-11.66,27.48,80.6,61,40,11.41,light rain,0.0,0.0
158,Gillette,US,44.29,-105.5,17.6,78,90,25.28,light snow,0.2,0.0
159,Iqaluit,CA,63.75,-68.51,-4.0,76,90,2.24,light snow,0.0,0.23
160,Piano Di Sorrento,IT,40.63,14.42,57.2,87,75,4.7,broken clouds,0.0,0.0
161,Marabba,SD,12.35,32.18,98.85,14,0,13.18,clear sky,0.0,0.0
162,Hithadhoo,MV,-0.6,73.08,82.08,74,29,14.9,scattered clouds,0.0,0.0
163,Esperance,AU,-33.87,121.9,64.4,63,0,14.99,clear sky,0.0,0.0
164,Hualmay,PE,-11.1,-77.61,68.99,76,77,7.34,broken clouds,0.0,0.0
165,Kodiak,US,57.79,-152.41,39.2,60,1,12.75,clear sky,0.0,0.0
166,Grindavik,IS,63.84,-22.43,33.8,86,75,1.12,broken clouds,0.0,0.0
167,Jinchang,CN,38.5,102.17,18.48,72,0,5.26,clear sky,0.0,0.0
168,Kasempa,ZM,-13.46,25.83,78.76,72,66,2.8,moderate rain,0.0,0.0
169,Lillehammer,NO,61.11,10.47,32.0,92,0,4.34,clear sky,1.12,0.0
170,Isangel,VU,-19.55,169.27,77.58,80,3,5.44,clear sky,0.0,0.0
171,Atar,MR,20.52,-13.05,77.2,19,0,14.45,clear sky,0.0,0.0
172,Ilulissat,GL,69.22,-51.1,28.4,54,75,14.99,broken clouds,0.0,0.0
173,Mujiayingzi,CN,42.12,118.78,6.58,86,0,10.78,clear sky,0.0,0.0
174,Turukhansk,RU,65.82,87.98,-42.21,78,2,1.95,clear sky,0.0,0.0
175,Alofi,NU,-19.06,-169.92,73.4,100,100,2.24,overcast clouds,0.0,0.0
176,Abu Samrah,SY,35.3,37.18,57.29,55,24,5.64,few clouds,0.0,0.0
177,Saveh,IR,35.02,50.36,45.63,61,50,7.58,scattered clouds,0.0,0.0
178,Rio Grande,BR,-32.03,-52.1,77.0,57,40,11.41,scattered clouds,0.0,0.0
179,Ilheus,BR,-14.79,-39.05,83.07,62,15,7.54,few clouds,0.0,0.0
180,Bowen,AU,-20.02,148.23,80.6,83,40,4.7,scattered clouds,0.0,0.0
181,Ekhabi,RU,53.51,142.97,-10.98,89,75,12.35,broken clouds,0.0,0.0
